,header,review,rating,recommend,country,date
804,miserable customer service,san diego hannover via london booked ba com longer flight way premium economy return informed san diego american airline flight dfw severely delayed would miss flight london american airline could book later flight day coach available insisted premier economy could fly 3 day took coach american assured ba would refund fare difference downgrade arrival home contacted ba website refund fare difference bizarre exchange followed first said buy upgraded seat told look ticket get refund economy class seat much expensive booked premium economy seat contacted ba germany said get refund booked travel agent charge booked ba website saidthey would send london compute refund get refund seat much expensive premium seat booked month advance change booking sole fault delayed american airline flight miserable customer service, 2,no,Germany,2018-11-28
805,offered assistance,london heathrow stuttgart absolutely disgusted ba husband asked put one piece hand luggage hold due flight busy agreed ba one job put hold make sure arrives stuttgart proven difficult bag lost offered assistance support, 1,no,United Kingdom,2018-11-27
806,excellent flight,london johannesburg turning right first wing t5 new experience u pretty slick although guy check exactly mr convivial concorde room impressive particularly terrace quirky interior design overlooking main concourse boarding involved lining according group smacked bit low cost airline guess necessary passenger double decker plane first cabin a380 definitely spacious 747 suite also room extra storage space divider seemed higher giving better privacy fact cabin half full another bonus cabin crew friendly attentive thoroughly professional food good demonstrated airline food restaurant quality cabin crew use reheating facility properly wine offer good selection including fabulous lpgs enjoyed wine tasting sleep quality considerably better club world although cabin temperature little high overall excellent flight fully met brief first class travel, 9,yes,United Kingdom,2018-11-27
807,completely inadequate service,booked ba business class paid extra seat selection boeing 787 disappointed flight scheduled rejected ba offer flying belgian air change flight get different ba aircraft booked window seat selection lost husband forced sit separately booking told could find proof paid selected seat could prove payment booking number changed new flight spooning stranger centre isle trip planned return flight sitting apart husband tv work staff could nicer could find alternative seat return ba customer complaint offered 400 voucher next flight despite sending two detailed message received response completely inadequate service ba flight attendant delivering flight paid dealing complaint, 2,no,United Kingdom,2018-11-22
808,staff helpful,vancouver london heathrow chose fly told good family traveling 8 month old alone needed booking process smooth stressful call customer service multiple time need improve customer service call center 2 flight great though staff ground air helpful everything could ensure ok crew came around often drink food ok first given cot baby originally wanted one britax seat talked saying baby would comfortable cot nope big could lie straight asked switched asleep 15 minute toilet economy order least 3 hour reached destination everyone used business class toilet sure annoying people seated line constant, 7,yes,Canada,2018-11-22
809,service standard,boston nairobi via london good thing new clean looking plane first leg trip boston heathrow cabin crew service standard window seat twice passed offered anything eat drink everyone around simply watching movie noticed eye contact attendant offered anything airplane food exactly gourmet ba food bland even little ate hungry connecting flight heathrow nairobi worse plane opposite one boston heathrow looked beat lacked even basic like usb port cabin crew service leg standard probably blame overrated ba flying know better, 1,no,United States,2018-11-21
810,space around seat cramped,basel san fransisco via heathrow convinced quality dropped considerably past several year booked world traveller plus premium economy cost appr twice much economy flight sfo ok seat wise plane a380 reserved aisle seat food disgusting flight given box several piece junk food shortly landing given piece pizza choice food leaf lot desired cold drink offered regularly go bulkhead get extra needed offered maybe two hot drink 12 hour plane longer due delay leaving uk flight back uk worse since boeing 747 older bulkier seat even get remote control hidden inside seat big recliner work properly general space around seat cramped person next spilled seat feel sorry larger people food bland poor barely warm drink staff seem challenged certain situation next time u look alternative airline, 4,no,Switzerland,2018-11-20
811,forced check suitcase,london lyon flight 1h 30 delay flight duration 1 30 ground staff forced check suitcase boarding process due lack space plane got suitcase damaged 2 big cut back customer service useless bad experience recommend flying, 1,no,France,2018-11-17
812,extremely nice helpful,london boston seated next customer needed extra seat flight attendant extremely nice helpful ensured comfortable throughout flight superb customer service, 8,yes,United States,2018-11-16
813,wonderful crew,stockholm london standard configuration short haul european flight business class still 3 seat side isle middle seat fitted tray wonderful crew 2 super professional steward business drink served smile food also food reminding served economy 10 year ago still free best part meal cheese pudding, 5,yes,Sweden,2018-11-16
814,sure bad luck,amsterdam london arrived 33 minute late three delay taking landing getting walkway airplane happened twice year fly klm 90 time route delayed rarely fly british route significantly cheaper delayed sure bad luck better double flight time good day, 1,no,Netherlands,2018-11-14
815,plane seating worn,buenos aire london flew overnight friday 9th november plane seating worn uncomfortable large number argentinian passenger plane yet saw staff spoke spanish chicken dinner described curry sauce bread roll stale dessert stodgy night water offered possible charge electronic equipment seatback screen small limited choice entertainment, 1,no,United Kingdom,2018-11-12
816,space ridiculously narrow,business class space ridiculously narrow service careless allowed laptop flight riyadh work want choose eat, 1,no,Saudi Arabia,2018-11-10
817,allowing add bag,aberdeen heathrow connect flight gatwick day check using ba app problem start opened noted boarding pas issued allowing add bag hold calling ba explaining situation told option pay 65 airport desk rip short flight curiosity checked easyjet booked day would cost fly money ba asked bag, 1,no,United Kingdom,2018-11-06
818,would recommend,would recommend airline travel lot work get fly different airline good base compare baggage allowance give 23kgs checked baggage 1 kg regardless bag travel companion pay 170aud extra strictest airline ever used airline allowed 5kgs charge ensure pre weighed bag flight meal way sydney served soggy squashed sandwich meal 8 hour flight make sure pack snack meal get bottle water rarely serve drink make sure pre pack bottle two custom customer service get go customer service appalling hard enough traveling kid deal ba stressful allow swap ticket husband traveling kid slight delay meant go flight airport find child booking caused delay stress misplace 4 kid booking put husband seat u anything help change ask person next kid plane bother flying ba, 1,no,Australia,2018-11-05
819,plane clean cold,new york budapest via london second flight bit different plane clean cold wanted drink water cabin crew accepted request mistake captain welcomed passenger bucharest budapest, 3,no,Hungary,2018-11-04
820,sufficient seat legroom,heathrow athens a321 arrived airport time bag drop ease got gate within 30mins bag drop light security queue aircraft sufficient seat legroom seat 7f funny safety video played flight smooth food served except bbc news playing screen sound russian caption quite confusing plane landed half hour late best landing ever experienced, 7,yes,United Kingdom,2018-11-02
821,match expectation,london bangkok fan ba configuration business however seat 2j right front sure begin food awful ordered beef showcase british beef note said inedible left instead asking something wrong would like another meal option fa took tray away asked wanted dessert wine 2 red 2 white 2 champagne hardly stellar wine list entertainment small screen dreadful resolution limited ordinary range option staff challenged best clearly business disengaged disinterested cabin hill toilet checked often sweet wrapper remained toilet floor entire trip overflowing rubbish bin would expect much better front plane pay premium service overall product match expectation, 4,no,Australia,2018-11-01
822,operated air belgium,abu dhabi london although ba flight sector operated air belgium offered really poor experience aircraft felt old tired cabin crew totally indifferent cabin temperature hot stuffy food totally inedible really awful flight worth looking alternative need fly route near future, 3,no,United Kingdom,2018-10-28
823,ditch non responsive airline,gatwick orlando stain seat cotton bud seat well disgusting force clean entertainment board functional internet available three time emirate price twice aa flight speed achieve streaming complained ba told communicate ceo could connect customer relation gold ba thirty year time ditch non responsive airline, 1,no,United States,2018-10-27
824,absolutely great,newcastle la vega via london flight great time food good flight london nice bottle champagne well long haul flight also good aircraft 20yrs old clean cabin crew nice friendly efficient pre ordered meal absolutely fantastic complaint flight entertainment need improved ie try showing classic british comedy programme instead unfunny modern stuff also include good classic rock music people actually heard apart absolutely great well recommended, 9,yes,United Kingdom,2018-10-26
825,restored faith ba,still fresh mind like commend hard working crew ba flight st petersburg london heathrow 23rd october 2018 check staff professional helpful assisted query boarding operated remarkably efficiently precise orderly manner cabin crew welcoming professional appearance demeanor cabin spotlessly clean flight departed time arrived slightly early captain informative gripe lack route map flight buy board option bit tedious disembarkation equally well managed passenger fare welled courteous sincere way flight restored faith ba well done superb crew, 9,yes,United Kingdom,2018-10-25
826,disappointed,london philadelphia upgraded coach business almost 900 wanted experience ba business class boeing 787 disappointed aircraft new staff really could cared le business guest 2 3 2 business seat facing cockpit others tail ba lost traveler crew although polite service wise lacking pre flight offer beverage asked rose champagne told guess go find bottle open one previous business class experience beverage served every 2 hour almost 8 hour flight served main meal almost 2 5 hour takeoff get one full hot meal snack one hour half landing also get initial beverage next time beverage offered 1 5 hour landing ask anything else drink go galley yes menu linen silverware glass feel like like want extra seat cram business narrow really uncomfortable virtually storage small laptop droor say entertainment option good wi fi flight get pillow duvet blanket decent amenity kit ba new plane decent business amenity however lost service pay upgrade business ba avoid flying another option need improve come inflight experience treatment specially business class traveler, 3,no,United States,2018-10-25
827,good improvement,madrid london good improvement ba club europe flight b777 seat flat bed ba updated menu instead serving sandwich offered full meal service three choice main food good quality good ba listened feedback always let iberia partner madrid business lounge abysmal usual toilet available lone tortilla unique culinary offering along dirty table, 8,yes,Spain,2018-10-24
828,flight uneventful,london munich ground staff friendly plane clean boarding completed informed due issue tower flight would delayed 40 minute finished loading baggage clear view window could see bag still arriving loaded scheduled departure aircrew functional must last flight day noticed flight uneventful flight tracking screen 30 minute retracted lied reason delay flight offered minimum required, 4,yes,Germany,2018-10-23
829,air conditioning problem,london cape town waiting gate staff announced flight delayed cabin temperature high air conditioning problem board said door aircraft opened light dimmed switched decrease temperature boarding start soon possible finally one hour take temperature became acceptable, 2,no,France,2018-10-23
830,service expected price,full flight muc lhr british airway plus side ground cabin crew friendly baggage allowance plane although new clean pay food beverage board short haul flight departure delayed 45 minute delay arrival total 55 minute later expected also parked gate far end t5 plus side walking luggage waiting u service expected price would reason choosing traveling infant delay tend compound matter, 5,yes,Germany,2018-10-22
831,smooth professional,manchester philadelphia via london man lhr tall club europe seating fine short flight addressed name adequate breakfast bacon roll fruit yoghurt concorde room crowded wait shower lhr phl aged 747 still favorite cabin washroom good shape though problem ba f layout unlike many poster excellent flight experienced crew though full cabin smooth professional beautifully prepared presented lamb shank good wine always nice see good british bubbly included downside deplaning phl f passenger fight way j scrum could controlled crew, 9,yes,United Kingdom,2018-10-22
832,experience bad,bangkok london seating interior old small ife screen like meal short connection rebooked another partner upon arrival lhr others connecting flight awaited told would service agent purple everywhere found none fast track security non existant total experience bad, 1,no,Netherlands,2018-10-21
833,lost club 7 day,london toronto 14 day trip play golf father ba lost club 7 day dealing ba lost luggage customer service brutal idea club long would take retrieve packed clothes club first day trip buy clothes essential flight home lhr yyz old 777 misplaced seat cushion broken seat stay upright ife system badly need upgrading power port seat grueling 7 5hr flight bad thought air canada light year ahead ba, 2,no,Canada,2018-10-18
834,ba provides buy onboard,london vienna shocked ba provides buy onboard short haul flight free water coffee tea tried buy something credit card work could pay cash, 2,no,Austria,2018-10-17
835,seem get better,johannesburg london tend stay airline frequent flyer fly business class seen change worst ba service seem get better bedding finally decent pillow good one indeed rest waste money unless new announced club world seat introduced fit perfectly seated window seat make impossible make bed properly new thing expect top food plane expect service announce thing make sure flight champagne served taken seat premium economy however get sparkling wine must eat order eat seem run certain item gin gordon decide upon breakfast even dinner entertainment make sure bring tablet downloaded thing view ba offer limited offer, 3,no,Belgium,2018-10-17
836,cabin service good,singapore london heathrow first time traveling british airway seat arrangement long haul business class uncommon half seat facing backward face face one sitting opposite least taking landing divider lowered 8 club world seat per row 777 300er relatively narrower comparing carrier serving route cabin service good expected however saw chocolate bar sweet minibar night could choice, 8,yes,Singapore,2018-10-17
837,ba club world farce,london los angeles booked trip eight month previously lost status ba year ago forced pay additional 180 two seat flight chose boeing 787 prepared part extra cash could small front cabin never expecting anything go according plan ba flight cancelled day rebooked onto later flight changed a380 twenty one year old jumbo seated right back club world benefit screaming child sat front row premium greeted rather pleasant steward told u would looking u trip disappeared never seen food served within hour take eleven hour flight steak tough impossible cut could eaten picking biting piece hour went galley seek drink crew disappeared stood completely ignored three stewardess reluctantly one stopped chattering managed get drink second meal served seven hour lunch steak sandwich least one edible seat would expect old plane totally knackered getting task bought wifi whole trip ran 50 flight yet customer non existent service refuse refund payment even though sent whole host screenshots showing various time wifi service happy note problem avoided ba time except option club europe transatlantic probably bottom pile took trip use avios used could come back lax virgin atlantic never ba club world offered farce today business market, 2,no,United Kingdom,2018-10-15
838,ba lack consistency,miami london heathrow many others posted review site issue ba customer service dealing issue arisen flying proud airline issue faulty equipment onboard issue seat onboard team tried best ability sort unable lack effort nothing praise guy working aging equipment keep trying best keep customer happy move seat first club premium economy full move back economy asked customer service refund fare difference part journey several cut past generic reply part fed hitting head brick wall given life short fight profit customer satisfaction organisation following favourable review outward journey clear ba lack consistency wish deal issue something go wrong said review nothing praise onboard crew dealing issue trying make great experiance think ba need work problem solving skill 91000 avios going waste business going else, 4,no,United Kingdom,2018-10-13
839,unbelievably rude unhelpful,london heathrow milan malpensa worst airline ever dealt fly 100 time year british airway lost wife luggage vacation unbelievably rude unhelpful resolving issue ruined vacation refuse help u please never book airline, 1,no,United States,2018-10-07
840,5 min late check,calgary rome via london wife booked 10th anniversary trip calgary rome return british airway sept 17 27 first trip europe spent almost 8500 cad first class ticket flight calgary london stopover ok got bottle water nobody came pod next 8 hour one would expected first class maybe another bottle water asked fill would like breakfast card filled breakfast even coffee came vacation great day return flight trenitalia train broke naples 80 min late wife tried dozen time phone british airway none phone number posted website working call dropped service tried number ticket website help desk facebook page google etc tried least 5 different phone number half dozen time 90 min could get wife managed check online could check glitch computer saying needed passport check wife pressed name passport information already form said form complete computer glitch get around ultimately arrived rome airport 5 min late check wife ok could go could asked 3 lady british airway desk help shrugged said help u apparently said would different called showed phone see attached photo call made told u ticket kiosk reschedule u gave u another number call wife point near tear visually impaired eye surgery 2 week prior allowed carry 5 lb managing luggage ticketing etc 10 hour delay stressed attitude lady certainly help way new secret customer service phone number given work wife phone customer service hour reviewing detail several team specialist told basically believe u tried call interested u sending screenshots u trying call nothing could done u could rebook u 8800 apology whatsoever given slightest help accommodation u stranded rome eventually made home different airline lost respect trust british airway like corporation interested taking money making minimal effort customer support, 1,no,Canada,2018-10-06
841,aircraft interior old,london bangkok flew british airway first time couple year terminal 5 rubbish may look great travel using train service get may find check need travel another train t5a b separate section terminal 5 usually fly eva others terminal 2 would avoid t5 possible aircraft interior old dated seat seen better day tv screen size iphone 8 without technology food ok best served cold warm meal flight crew okay flight home however flight interested spoke landing card thailand loaded aircraft total 50 people economy land bangkok spend time filling one immigration ridiculous queue always huge bangkok want get clearing getting bag flight drunk way back uk airline fault notice one young guy 21 told alcohol cabin manager kicked next crew member serve last time choice ever fly british airway seat available anywhere else went time guess choice, 2,no,United Kingdom,2018-10-01
842,crew also nice,london heathrow miami airport staff helpful crew also nice food delicious old personal entertainment system work well overall one best flight, 10,yes,Netherlands,2018-09-28
843,crew friendly,london singapore wonderful flight lucky 2 seat row upperdeck last criterion make flight perfect crew friendly food best airplane fly a380 economy book seat upperdeck best seat plane 83a 83k, 9,yes,Germany,2018-09-28
844,flying,dublin london trying add additional bag online system keep saying email address correct giving completely correct email address checked flight additional bag option completely gone system asked add additional bag airport charging 70 compare 35 online price afterwards phoned customer care discus issue customer care agent dropped call three time fourth time talking one customer care agent helpful asked connect supervisor manager put hold 55 min said manager busy completely unprofessional showing empathy british airway trying rob compelling pay double price airport extra baggage british airway always first priority unfortunately flying british airway due awkward behavior, 1,no,Ireland,2018-09-26
845,seating still hopeless,london pisa return fly route often house tuscany reasonableness best far outbound went first wing check t5 gold card member breakfast lounge ok south lounge rammed took time declined cooked breakfast lady next full english look rather nice captain popped loo caught eye enjoyed pleasant ten minute chat aviation nice bloke landed plane superbly coming home delayed 45 minute due storm ali good lunch new club europe menu came effect two day earlier nice prawn cocktail nice coronation chicken downed couple g t fa flight great massive improvement catering side seating still hopeless three seat two zero legroom ba really look competition far east offer excellent regionalized business class product worth sale avious point every day fare price ludicrous, 6,no,United Kingdom,2018-09-25
846,never fly british airway,prague flying british airway back heathrow apparently thunderstorm london flight delayed 17 15 flight delayed 8 next morning british airway person prague airport relay message consolidator passed sheet paper advising people remuneration available spend night wait 8 flight sheet information offer hotel suggestion idea get back prague consolidator also mentioned 20 00 flight room thirty people flight calling british airway finding office closed evening went online booked flight late timing charged 356usd countless email hour spent trying get phone finally learned ba would reimburse non used flight booked 3 month earlier cost 96 usd also said would send 50 flight voucher sure many month take receive airline simply rebook significantly delayed passenger next flight try extract outrageous sum never fly british airway, 1,no,United States,2018-09-24
847,seat biggest let,ba34 kul lhr 6 sept return ba11 lhr sin kul 16 sept flight world traveller plus exception sin kul mh economy kul lhr leg aircraft clean spacious py cabin seat biggest let whilst adequate legroom hard uncomfortable especially reclined virtually lumbar support headrest move seat taper waist odd given quite wide little storage apart usual pocket think missed opportunity ba maximise utilisation space food okay get two meal first quite substantial second joke ife okay best part journey staff pleasant obliging return flight a380 excellent boarding procedure full flight seat a380 wonderful storage space upper cabin staff le conspicuous time around overall would recommend attention need paid seat, 7,yes,Malaysia,2018-09-20
848,ba sort shamble,flew los angeles leeds bradford via heathrow thursday 13th september british airway codeshare partner american airway arrived safely bag monday afternoon receiving five different text message contradicting previous one still without bag come ba sort shamble, 6,no,United Kingdom,2018-09-18
849,experience lacklustre,brindisi london flying airport includes ryanair among serving airline bad sign brindisi airport least modern make concession comfort certainly lounge club europe passenger also priority check indeed priority anything boarding fiasco two line directed pen pending mad dash plane entailed using rather weird tiered set step another queue service club europe commenced efficiently cabin crew breezy cheery type better suited ryanair brief drink service much vaunted new look club europe meal service sadly proved another cost cutting exercise everything piled tiny plastic tray appetiser cheese course reduced microscopic portion little pot course seat changed although interestingly ba seem intent packing ever passenger club europe section mean service little different old economy still arrived 30 minute behind schedule priority tag result bag coming belt within minute whole inflight experience lacklustre un business like, 3,no,United Kingdom,2018-09-17
850,dreadful seat toilet,chicago london flown long haul many time ba virgin premium economy view whilst virgin product improved ba equivalent deteriorated virgin significantly better despite booking paying seat ba got changed without notification ended back wt a380 dreadful seat toilet limited recline overnight flight first time many year found food inedible service great example cutlery initially tray food choice run choice one drink serving get water flight went 3 layer customer service ba seat booking issue consistently fobbed plane also warm uncomfortable return leg, 1,no,United Kingdom,2018-09-16
851,serve free water,berlin london connecting flight complain flight time machine clean serve free water let alone tea coffee obviously cost nothing testifies low perception customer ba simply turned low cost airline, 2,no,Germany,2018-09-16
852,staff professional,british airway favorite airline boeing 777 21 year old clean staff professional food expectation 7 hour flight staff always captain kept updating u weather turbulence time, 10,yes,Saudi Arabia,2018-09-16
853,surprisingly good flight,rome newark via london first sector a319 flight tiny bit delayed arrived time boarding fco initially group free group 1 2 flight attendant friendly welcoming seat comfort pretty good leather seat though legroom tight really nothing set flight apart low cost carrier everything purchased even water entertainment either prepared packed lunch airport better appeared menu connection t5 smooth anything given arrival mid afternoon boarding flight newark organised painless dreading 787 flight little based previous experience another airline felt cramped happy say seat comfort pretty good legroom manageable however surprised 2 year old aircraft checked pretty dirty grime around usb port work tv screen along floor wall cushion seatback front appeared busting side well found touchscreen ife outdated slightly slow response selection extensive find excellent british content seen real standout cabin crew somewhat senior experience shone consistently friendly professional warm service generous drink efficient quick main meal decent though pre arrival snack sandwich little dry disappointing surprisingly good flight transatlantic leg comparison sub par european sector, 7,yes,United States,2018-09-15
854,staff cheerful,london heathrow new york jfk first wing terminal 5 rubbish tonight 20 deep really decent part ba ground operation flight left late due repair usual wait tow kennedy made u overall late staff cheerful route get decent catering normally 3 main option indian chicken bland, 6,no,United States,2018-09-14
855,great flight,london heathrow dubai first time flown first class ba read many review travelling somewhat mixed ba first class cabin even close best sky price reward ticket readily available little bit flexible date 777 probably one oldest ba fleet cabin clean little bit tired place seat comfortable spacious sleep suit amenity kit great lot little touch make comfy nice offer male female kit wife delighted content champagne ba offer first superb enjoyed couple glass lounge board probably best champagne tasted choice wine good particular treat johnnie walker blue label whiskey drinker food tasty well presented seared prawn amuse bouche followed poached baby pear blue cheese walnut brittle lamb machboos main course finally chocolate mille feuille offered ice cream hour two later afternoon tea couple hour landing cant really fault best airline food ever eaten better number restaurant meal ife decent although screen folded away entertainment take landing believe rectified later version seat fitted 787 wish full series show rather random episode plenty choice thing really made flight special cabin crew moment stepped board deplaned fabulous attentive bearing witty charming still professional always available attend every need superb wifi available page connect load tried dint really pursue honest happy enjoy pleasure first offer great flight would wholly recommend try first whether would choose club world would flight flight basis though, 9,yes,United Kingdom,2018-09-12
856,left luggage belt mistake,heraklion gatwick left luggage behind belt mistake 30 min realised went back airport british airway staff willing help asked ring phone arrival hall pillar dialed ba baggage enquiry staff picked phone hung purpose never answered frustrating, 1,no,United Kingdom,2018-09-11
857,staff efficient,flew madrid london heathrow 767 ancient ba clearly given hiding fact guess phasing old great plane service soon love flying 767s configuration generally comfortable honest plane really dated ba definitely improve aside flight really good indeed ba business class experience always consistent consistently good ba cabin crew business class real asset one ba traditional crew create agreeable atmosphere flight busy staff efficient loading flight prejudice overall experience food tasty indeed excellent selection drink sad see 767s go time come, 8,yes,Brazil,2018-09-10
858,experience second rate,london heathrow brindisi expecting long queue club europe check mid afternoon apparently particularly busy t5 gallery south lounge also teeming least filthy chair replaced reasonable selection hot cold food group boarding handled efficiently a321 relatively new clean pre take drink offered departure delayed 30 minute arrival time club europe section unusually busy least ten fully occupied row including family pre school child despite congestion chaos food drink service handled efficiently although food better old world traveller offering hard see point ba short haul business class product experience second rate, 4,no,United Kingdom,2018-09-10
859,british airway rip,ba silver membership promise fast track choice seat booking priority boarding lounge access would advise traveller reality benefit intermittent best unavailable worst majority time seat choice changed fast track heathrow slower normal queue lounge overcrowded sometimes hard find seat iberia lounge madrid equality poor stale tortilla offering breakfast british airway rip uploaded way example seat map a321 seat 22c seat extra legroom cramped like others yet ba com try sell exit seat extra legroom recently travelled virgin atlantic cathay pacific business economy really struck abysmal ba iberia comparison, 3,no,United Kingdom,2018-09-08
860,demanded keep,hamburg london initial flight london cancelled u 3 day departure firm booking collect motorhome upon arrival total chaos ground service appalling free service board checkin hamburg appallingly slow open 2 hr departure check demanded cabin baggage checked demanded keep unsatisfactory airline, 2,no,Australia,2018-09-08
861,overall job well done,glasgow miami via london glasgow heathrow painless transfer t3 heathrow miami aging 747 flight delayed hour due temperature board unsafe board kept informed gate team progress tv screen tiny poor choice entertainment plane looking age bit run around edge premium economy offering cabin seat comfort far superior a380 made journey good young lady looking premium economy cabin polite efficient welcoming nothing bother service smile start finish people quick criticise poor service big shout crew member great job also meal drink selection good although leaving hour late arrived time overall job well done ba looking forward return journey, 7,yes,United Kingdom,2018-09-07
862,finally nice flight,london heathrow budapest much disappointing experience ba finally nice flight got emergency seat assigned online check though usually extra money top one sat next better seat people euro club business class since legroom economy class flight departed landed time uneventful anyway, 8,yes,United Kingdom,2018-09-06
863,crew make journey smooth,budapest london heathrow flight departed time would arrived ahead schedule gate occupied previous aircraft ride bit bumpy serious flight full kid crew everything make journey smooth purchase food saw ran lot option due unexpected number board purchase, 7,yes,United Kingdom,2018-09-05
864,outstanding crew,london toronto group 10 people age 2 60 business class seating 787 9 conducive family travelling allows interaction forward business class cabin 787 fairly private service flight flawless attentive three small child also allowing adult enjoy meal food presentation especially intercontinental leg really nice food flight simply fantastic outstanding crew ba 603 ba 99 outgoing flight toronto august 16 similar great service ba get often negative review travelling regularly never bad experience seating arrangement club world perfect travelling family carrier may advantage one travel alone, 10,yes,Canada,2018-09-03
865,never provide assistance,madrid heathrow fly ba regular basis gold card holder service attitude facility drop lower lower plane filthy cleaned properly flight staff hit miss miss anything poorly turned food business average seating newer plane terribly uncomfortable customer service point ringing useless rude hostile never provide assistance whatsoever, 1,no,United Kingdom,2018-08-30
866,legroom seemed small,singapore london wanted charge extra gbp65 23kg limit legroom seemed small flight super full sitting next big woman spilled side seat asked would like tea coffee breakfast steward said come back tea long time managed catch guy walking asked tea said tea, 1,no,Singapore,2018-08-29
867,ife size wallet,washington frankfurt via london check dulles airport smooth asked agent possible get window seat even though online check none available boeing 747 400 27 year old ife size wallet quality incredibly bad seat ok pretty standard head rest good seat 27a whole row unfortunately crew member shortly take told another passenger issue ife would replace 27c shortly take service began 2 food option available chicken vegatarian lasagne went lasagne ok nothing special came salad bread bun black forest cake ok meal nothing complain crew distributed 2 mini can soda bit unsatisfying dinner crew dimmed light supposed close window shade people wanted sleep tried watch movie selection ok hard miniature ife morning crew served orange juice landing pretzel cheese small water bottle connecting heathrow pretty easy t5 sign everywhere security went fast huge quiet zone battery charger free wifi boarded group good avoid crowd ba started buy board service hate however thought pricing ok, 4,no,Germany,2018-08-29
868,next flight tomorrow,rome london flight delayed rome hour could connect next flight los angeles landed heathrow 20 minute departure staff member helped u conveniently put u next flight tomorrow put u hotel next airport provided dinner provide additional voucher snack stuff, 5,no,United States,2018-08-28
869,food really poor,always like travelling ba a380 seat economy class comfortable always able sleep rare airline type plane however food really poor last 12 month worst airline food served ba cathay pacific includes recent travel british airway thankfully ba airline staff always best, 7,yes,United Kingdom,2018-08-23
870,really good crew,london heathrow sseldorf really good crew leg journey got board first let crew know fact flying solo slight autism kept safe entire flight bonus loved fact asked ok board, 10,yes,United Kingdom,2018-08-21
871,quality becomes worse,london athens since started using ba 2011 say quality becomes worse leg room business class a320 like economy thing get empty middle seat meal choice poor choose curry fish pie also first brought u starter dessert 5 10 min ate starter took starter plate gave u main board service le attentive year ago probably cabin crew utilised want get rest understandable also due plane late cabin cleaned properly point need think would someone choose ba low cost airline ticket priced similar way food board economy business portion variety joke leg space small always delay depart heathrow ba fault end day experience delay make ba european flight distinct probably nothing, 3,no,United Kingdom,2018-08-21
872,thoroughly recommend,london heathrow singapore great experience concorde room gallery first lounge heathrow t5 warmly greeted member crew held aside took cockpit meet flight crew look around expressed slight interest thankful flight crew friendly nice see go cockpit seat well presented small amenity kit well pair pyjama seat clean pillow well ample storage space get closet hang clothes little compartment next seat well overhead bin never ran room pre departure beverage choice water orange juice champagne hot towel handed flight left slightly behind schedule heathrow something expect soon take crew began serving dinner already booked meal advance choice starter main desert well beverage menu good meal exceptionally tasty would dinner service finished crew turned bed whilst went changed comfortable pyjama provided bed comfortable 6 foot tall issue fitting bed stretching plenty blanket pillow available slept well awoke offered coffee short later breakfast breakfast choice continental cooked opted cooked option disappointed tasty lot inflight entertainment good large range film tv programme series audio book kid programme choose system responsive good quality although watch film speak sound quality crew served smile even asked latte machine crew went way make one nice really made already special experience even special want treat ba first would thoroughly recommend, 10,yes,United Kingdom,2018-08-21
873,foil covering food,philadelphia london nice plane nice seat low quality service plane husband ordered low sodium meal delivered mine asked attendant brought uncovered tray sticker tray lsml obviously heated quickly lukewarm dry troubled fact delivered foil covering food husband meal take airline word lsml low sodium attendant serving coffee missed u pressed call button 15 minute flight attendant showed one pas cabin drink go back plane find attendant order drink sandwich served landing evening horrendous hummus limp piece lettuce soggy thin sliced tomato made stale sandwich unappealing tasteless say least expected edible food better friendly service airline flight attendant stone faced seemed curt bothered time asked missing meal landing many people still trash final walk invisible flight crew thought british airway better, 3,no,United States,2018-08-20
874,choose another airline,london la vega experienced ancient entertainment unit inoperable could reset tray table stow properly armrest remained 45 degree angle metal frame exposed seat cushion badly sunken totally unpadded one air vent 3 seat row seat power luggage mislaid 33 hour even priority tag writing british airway regarding disappointing flight ba customer service contacted offered apology 63usd voucher toward future ba travel make shoddy service choice choose another airline, 1,no,United States,2018-08-18
875,asked would like food,zagreb london check 24 hour checked via app offered choice seating flight asked stewardess would like food find approach pleasant personally invited use lounge find lacking business class fare, 5,no,United Kingdom,2018-08-17
876,totally disappointed,booked round trip milan california honeymoon first flight milan san francisco via london returning flight los angeles milan always via london flight faced 1 hour delay flight luggage delivered destination check bag business class mixed one world member exclusive first real advantage found business lane crowded category worst business class experience totally disappointed, 1,no,Switzerland,2018-08-16
